,asian_pop,black_pop,hispanic_p,no_car_hh,poverty_po,white_pop,ave_hh_inc,edu_uni,edu_high,hh_incm_hi,hh,pop,age65,poverty_perc,pos,geometry,row,col,grid_area
34,15.3136455553,13.4735603672,4.1770705559,4.89647826416,25.0572324372,63.7192545831,203710.107427,56.9730937107,4.33865834983,61.3961240698,106.505743991,271.097586217,26.1561219906,9.24288289943,13_24,"POLYGON ((-1643327.704565505 515097.5045573009, -1642327.704565505 515097.5045573009, -1642327.704565505 514097.5045573009, -1643327.704565505 514097.5045573009, -1643327.704565505 515097.5045573009))",13,24,1000000.0
35,16.8168885268,6.10719136511,13.0068095261,14.6320257575,25.0415635581,60.1250572124,69882.1928276,24.4271322918,18.7608697305,24.0805880702,76.4230780612,158.837902329,8.13980151233,15.7654836729,8_25,"POLYGON ((-1648327.704565505 514097.5045573009, -1647327.704565505 514097.5045573009, -1647327.704565505 513097.5045573009, -1648327.704565505 513097.5045573009, -1648327.704565505 514097.5045573009))",8,25,1000000.0
36,44.8013414205,10.2693290474,8.1894458451,11.3649539634,71.1713881404,32.409899379,74632.8685859,25.8886168813,24.3361670104,28.6374233922,189.367621718,503.809866775,12.9952225958,14.1266364226,8_24,"POLYGON ((-1648327.704565505 515097.5045573009, -1647327.704565505 515097.5045573009, -1647327.704565505 514097.5045573009, -1648327.704565505 514097.5045573009, -1648327.704565505 515097.5045573009))",8,24,1000000.0
37,52.4527552019,28.9461218058,5.84626402807,15.5278880904,517.662670034,9.90546901002,90647.2573722,23.9200999072,30.227771011,31.5261147466,637.411429711,2105.94223955,14.1862060409,24.5810478707,9_25,"POLYGON ((-1647327.704565505 514097.5045573009, -1646327.704565505 514097.5045573009, -1646327.704565505 513097.5045573009, -1647327.704565505 513097.5045573009, -1647327.704565505 514097.5045573009))",9,25,1000000.0
38,13.7987594633,12.3253618746,45.9885002169,12.4157164768,418.300652318,39.7313071171,64095.778839,15.9323930379,29.2283854922,14.4724601597,503.334806366,1547.60901026,8.85058085371,27.0288328348,7_25,"POLYGON ((-1649327.704565505 514097.5045573009, -1648327.704565505 514097.5045573009, -1648327.704565505 513097.5045573009, -1649327.704565505 513097.5045573009, -1649327.704565505 514097.5045573009))",7,25,1000000.0
39,18.5375924281,12.8412824786,16.6956905647,4.84797384541,365.514945905,50.2204725817,94063.4258657,35.484219909,13.5692310765,33.1243628861,1495.51227566,3596.7105112,8.14532665897,10.1624788752,4_24,"POLYGON ((-1652327.704565505 515097.5045573009, -1651327.704565505 515097.5045573009, -1651327.704565505 514097.5045573009, -1652327.704565505 514097.5045573009, -1652327.704565505 515097.5045573009))",4,24,1000000.0
40,25.8463553855,7.57083249745,15.8498641897,20.2863908411,228.638667707,48.2466919135,90832.3910054,34.8041802504,14.5684891563,30.0751346867,772.799796995,1969.27759288,12.2311909695,11.6102812795,5_25,"POLYGON ((-1651327.704565505 514097.5045573009, -1650327.704565505 514097.5045573009, -1650327.704565505 513097.5045573009, -1651327.704565505 513097.5045573009, -1651327.704565505 514097.5045573009))",5,25,1000000.0
41,51.4406916306,23.5188145462,6.52751642532,17.7635105797,1028.15520442,16.1131261439,83321.234235,26.1178310591,28.1704588532,32.3196070456,1432.27213515,4149.56909169,18.7029915639,24.7773969225,10_24,"POLYGON ((-1646327.704565505 515097.5045573009, -1645327.704565505 515097.5045573009, -1645327.704565505 514097.5045573009, -1646327.704565505 514097.5045573009, -1646327.704565505 515097.5045573009))",10,24,1000000.0
42,23.356154569,9.28981973124,23.5734164053,15.9123162704,191.061099374,46.090837517,78793.2324907,21.819763006,20.6423126971,19.3553351361,395.065992215,981.629858615,11.0111775717,19.4636601258,6_24,"POLYGON ((-1650327.704565505 515097.5045573009, -1649327.704565505 515097.5045573009, -1649327.704565505 514097.5045573009, -1650327.704565505 514097.5045573009, -1650327.704565505 515097.5045573009))",6,24,1000000.0
43,16.7377110757,7.10840226916,22.7587236354,13.4907366489,90.6702330088,55.6908315449,63824.4509424,18.8671555001,19.5643982987,19.4432302068,192.764977154,428.977698999,7.66607612973,21.136351195,7_24,"POLYGON ((-1649327.704565505 515097.5045573009, -1648327.704565505 515097.5045573009, -1648327.704565505 514097.5045573009, -1649327.704565505 514097.5045573009, -1649327.704565505 515097.5045573009))",7,24,1000000.0
